"dendlabs","prey_class","prey_order","prey_family","prey_sp","prey_age_reported_1","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"21","Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","none","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",7
"22","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus maderensis","adult","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"23","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus townsendi","none","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",5
"24","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"25","Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","none","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"26","Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","none","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4
"27","Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","none","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"28","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","none","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",3
"29","Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","none","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"30","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","adult","adult","epipelagic","oceanic","diel (no)","season (yes)","schooling",1
"31","Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","none","adult","demersal","coastal","diel (no)","season (yes)","solitary",4
"32","Actinopterygii","Perciformes","Nomeidae","Cubiceps pauciradiatus","none","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1
"33","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","none","adult","demersal","coastal","diel (no)","season (yes)","schooling",4
"34","Actinopterygii","Myctophiformes","Myctophidae","Diaphus effulgens","none","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1
"35","Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"36","Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"37","Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"38","Actinopterygii","Myctophiformes","Myctophidae","Diaphus theta","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"39","Actinopterygii","Perciformes","Sparidae","Diplodus sargus","none","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",4
"40","Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","none","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","solitary",6
"41","Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","none","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"42","Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus gigas","none","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5
"43","Cephalopoda","Octopoda","Eledonidae","Eledone cirrhosa","none","juvenile","benthic","continental shelf","diel (yes)","season (no)","solitary",6
"44","Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","none","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"45","Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","juvenile","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"46","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","juvenile","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",4
"47","Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","juvenile","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",3
"48","Cephalopoda","Oegopsida","Ommastrephidae","Eucleoteuthis luminosa","none","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling",5
"49","Malacostraca","Euphausiacea","Euphausiidae","Euphausia pacifica","adult","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling",2
"50","Malacostraca","Decapoda","Sergestidae","Eusergestes arcticus","adult","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",3
"51","Malacostraca","Decapoda","Sergestidae","Eusergestes similis","adult","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",1
"52","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","none","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4
"53","Malacostraca","Decapoda","Penaeidae","Funchalia taaningi","none","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2
"54","Malacostraca","Decapoda","Penaeidae","Funchalia woodwardi","none","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2
"55","Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","none","juvenile","demersal","continental shelf","diel (no)","season (no)","solitary",6
"56","Malacostraca","Decapoda","Benthesicymidae","Gennadas elegans","juvenile","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",6
"57","Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","none","juvenile","demersal","continental shelf","diel (no)","season (no)","solitary",6
"58","Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","none","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",5
"59","Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","juvenile","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",5
"60","Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","none","juvenile","demersal","coastal","diel (no)","season (no)","schooling",7
"61","Malacostraca","Decapoda","Pandalidae","Heterocarpus laevigatus","none","adult","benthic","continental shelf","diel (yes)","season (yes)","schooling",3
"62","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","juvenile","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",5
"63","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis heteropsis","none","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",5
"64","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","none","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",5
"65","Cephalopoda","Oegopsida","Ommastrephidae","Hyaloteuthis pelagica","none","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1
"66","Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"67","Malacostraca","Amphipoda","Hyperiidae","Hyperia galba","none","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",1
"68","Malacostraca","Isopoda","Idoteidae","Idotea metallica","none","adult","epipelagic","continental shelf","diel (no)","season (yes)","schooling",4
"69","Cephalopoda","Oegopsida","Ommastrephidae","Illex argentinus","adult","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",3
"70","Cephalopoda","Oegopsida","Ommastrephidae","Illex coindetii","none","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling",6
"71","Malacostraca","Decapoda","Oplophoroidae","Janicella spinicauda","none","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2
"72","Gastropoda","Caenogastropoda","Epitoniodea","Janthina exigua","none","adult","epipelagic","oceanic","diel (no)","season (no)","solitary",1
"73","Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","none","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",5
"74","Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","none","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",5
"75","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","none","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"76","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus alatus","adult","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
"77","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","adult","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1
