"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO","yearrepID"
"155","Pinkas1971","Pinkas1971_50",1969,"N Pacific","6",20.3,275.2,0.0737645348837209,"1969_Pinkas1971_50"
"156","Pinkas1971","Pinkas1971_50",1969,"N Pacific","7",0.5,275.2,0.00181686046511628,"1969_Pinkas1971_50"
"157","Pinkas1971","Pinkas1971_51",1968,"N Pacific","2",15.4,152.3,0.101116217990808,"1968_Pinkas1971_51"
"158","Pinkas1971","Pinkas1971_51",1968,"N Pacific","3",60.7,152.3,0.398555482600131,"1968_Pinkas1971_51"
"159","Pinkas1971","Pinkas1971_51",1968,"N Pacific","5",42.3,152.3,0.27774130006566,"1968_Pinkas1971_51"
"160","Pinkas1971","Pinkas1971_51",1968,"N Pacific","6",33.9,152.3,0.222586999343401,"1968_Pinkas1971_51"
"161","Pinkas1971","Pinkas1971_52",1969,"N Pacific","2",69.3,138.6,0.5,"1969_Pinkas1971_52"
"162","Pinkas1971","Pinkas1971_52",1969,"N Pacific","3",23.1,138.6,0.166666666666667,"1969_Pinkas1971_52"
"163","Pinkas1971","Pinkas1971_52",1969,"N Pacific","5",46.2,138.6,0.333333333333333,"1969_Pinkas1971_52"
"164","Pusineri2005","Pusineri2005_53",1993,"N Atlantic","2",74,210,0.352380952380952,"1993_Pusineri2005_53"
"165","Pusineri2005","Pusineri2005_53",1993,"N Atlantic","3",52,210,0.247619047619048,"1993_Pusineri2005_53"
"166","Pusineri2005","Pusineri2005_53",1993,"N Atlantic","5",22,210,0.104761904761905,"1993_Pusineri2005_53"
"167","Pusineri2005","Pusineri2005_53",1993,"N Atlantic","6",62,210,0.295238095238095,"1993_Pusineri2005_53"
"168","Romanov2020","Romanov2020_54",2014,"Indian","1",44.6,237.4,0.187868576242629,"2014_Romanov2020_54"
"169","Romanov2020","Romanov2020_54",2014,"Indian","2",80.5,237.4,0.339090143218197,"2014_Romanov2020_54"
"170","Romanov2020","Romanov2020_54",2014,"Indian","3",9.7,237.4,0.0408593091828138,"2014_Romanov2020_54"
"171","Romanov2020","Romanov2020_54",2014,"Indian","4",1.1,237.4,0.0046335299073294,"2014_Romanov2020_54"
"172","Romanov2020","Romanov2020_54",2014,"Indian","5",26.5,237.4,0.111625947767481,"2014_Romanov2020_54"
"173","Romanov2020","Romanov2020_54",2014,"Indian","6",6.8,237.4,0.0286436394271272,"2014_Romanov2020_54"
"174","Romanov2020","Romanov2020_54",2014,"Indian","7",40.2,237.4,0.169334456613311,"2014_Romanov2020_54"
"175","Romanov2020","Romanov2020_54",2014,"Indian",NA,28,237.4,0.117944397641112,"2014_Romanov2020_54"
"176","Romanov2020","Romanov2020_55",2014,"Indian","1",25.3,176.4,0.143424036281179,"2014_Romanov2020_55"
"177","Romanov2020","Romanov2020_55",2014,"Indian","2",50.8,176.4,0.287981859410431,"2014_Romanov2020_55"
"178","Romanov2020","Romanov2020_55",2014,"Indian","3",11.2,176.4,0.0634920634920635,"2014_Romanov2020_55"
"179","Romanov2020","Romanov2020_55",2014,"Indian","5",11.2,176.4,0.0634920634920635,"2014_Romanov2020_55"
"180","Romanov2020","Romanov2020_55",2014,"Indian","6",19.1,176.4,0.10827664399093,"2014_Romanov2020_55"
"181","Romanov2020","Romanov2020_55",2014,"Indian","7",42.9,176.4,0.243197278911565,"2014_Romanov2020_55"
"182","Romanov2020","Romanov2020_55",2014,"Indian",NA,15.9,176.4,0.0901360544217688,"2014_Romanov2020_55"
"183","Romanov2020","Romanov2020_56",2014,"S Atlantic","1",2.4,219.7,0.0109239872553482,"2014_Romanov2020_56"
"184","Romanov2020","Romanov2020_56",2014,"S Atlantic","2",83,219.7,0.377787892580792,"2014_Romanov2020_56"
"185","Romanov2020","Romanov2020_56",2014,"S Atlantic","3",6.6,219.7,0.0300409649522076,"2014_Romanov2020_56"
"186","Romanov2020","Romanov2020_56",2014,"S Atlantic","5",19.6,219.7,0.0892125625853437,"2014_Romanov2020_56"
"187","Romanov2020","Romanov2020_56",2014,"S Atlantic","6",86.1,219.7,0.391898042785617,"2014_Romanov2020_56"
