"","dendlabs","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","maxFO","maxN","maxM","prob.clust.num"
"164",164,"Actinopterygii","Myctophiformes","Myctophidae","Diaphus luetkeni","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.857142857,0,0,2
"165",165,"Actinopterygii","Perciformes","Sparidae","Diplodus sargus","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",2.857142857,0,0,7
"166",166,"Cephalopoda","Sepiida","Sepiolidae","Sepietta oweniana","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",2.857142857,0,0,1
"167",167,"Malacostraca","Amphipoda","Phrosinidae","Primno macropa","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling",2.857142857,0.49,0.24,5
"168",168,"Malacostraca","Decapoda","Sergestidae","Robustosergia robusta","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.857142857,0,0,2
"169",169,"Cephalopoda","Oegopsida","Ommastrephidae","Todaropsis eblanae","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",2.777777778,0,13.64,1
"170",170,"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.7,0.3,1,2
"171",171,"Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.7,0.2,0,2
"172",172,"Actinopterygii","Perciformes","Gempylidae","Thyrsitoides marleyi","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2.7,0.4,0.9,3
"173",173,"Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",2.7,0.4,0,2
"174",174,"Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.2,0.9,0.6,2
"175",175,"Actinopterygii","Perciformes","Gempylidae","Rexea prometheoides","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2.2,0.1,0.7,3
"176",176,"Actinopterygii","Tetraodontiformes","Molidae","Ranzania laevis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",2.2,1.3,1.6,5
"177",177,"Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis dofleini","juvenile","mesopelagic","oceanic","diel (no)","season (no)","schooling",2.2,0.6,0.5,6
"178",178,"Malacostraca","Decapoda","Oplophoroidae","Janicella spinicauda","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",2.2,0.5,0.1,3
"179",179,"Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros mcclellandi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",2.1,0.3,0.2,2
"180",180,"Actinopterygii","Myctophiformes","Myctophidae","Diaphus effulgens","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",2.1,0.2,0.2,2
"181",181,"Malacostraca","Amphipoda","Oxyccephalidae","Leptocotis tenuirostris","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling",2.1,0.1,0.1,5
"182",182,"Actinopterygii","Ophidiiformes","Aphyonidae","Barathronus parfaiti","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",1.851851852,0,0,2
"183",183,"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",1.851851852,0,0,4
"184",184,"Actinopterygii","Perciformes","Centrolophidae","Centrolophus niger","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",1.851851852,0,0,5
"185",185,"Actinopterygii","Perciformes","Mullidae","Mullus barbatus barbatus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",1.851851852,0,0,7
"186",186,"Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",1.851851852,0,0,4
"187",187,"Cephalopoda","Oegopsida","Cranchiidae","Liocranchia reinhardtii","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",1.851851852,0,0,5
"188",188,"Gastropoda","Littorinimorpha","Atlantidae","Atlanta peronii","adult","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",1.851851852,0,0,5
"189",189,"Malacostraca","Amphipoda","Lanceolidae","Lanceola sayana","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.851851852,0,0,2
"190",190,"Malacostraca","Amphipoda","Platyscelidae","Platyscelus serratulus","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1.851851852,0.06,0.08,1
"191",191,"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium ritteri","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.8,0.1,0,2
"192",192,"Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis giardi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.63,0.16,0,2
"193",193,"Cephalopoda","Oegopsida","Pyroteuthidae","Pyroteuthis margaritifera","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.63,0.16,0,2
"194",194,"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.6,0.2,0.1,2
"195",195,"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1.6,0.2,0.4,1
"196",196,"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",1.6,0,0,1
"197",197,"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",1.6,0.1,0,4
"198",198,"Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",1.6,0.2,0,4
"199",199,"Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus lagocephalus","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",1.6,0,0,4
"200",200,"Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis hoylei","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.6,0.6,1.1,2
"201",201,"Cephalopoda","Oegopsida","Thysanoteuthidae","Thysanoteuthis rhombus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","non-schooling",1.6,0,0.6,4
"202",202,"Malacostraca","Amphipoda","Cyphocarididae","Cyphocaris faurei","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",1.6,0.1,0,3
"203",203,"Malacostraca","Decapoda","Penaeidae","Funchalia taaningi","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",1.6,0.2,0.3,3
"204",204,"Cephalopoda","Oegopsida","Gonatidae","Gonatus berryi","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.5,0.1,0.1,2
"205",205,"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis heteropsis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",1.5,0.1,0,2
"206",206,"Cephalopoda","Oegopsida","Ommastrephidae","Todarodes pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1.5,0.2,0.4,1
"207",207,"Malacostraca","Amphipoda","Eupronoidae","Parapronoe crustulum","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",1.5,0.2,0.1,3
"208",208,"Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",1.162790698,0.076511094,0.000609243,4
"209",209,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis affinis","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling",1.162790698,0.076511094,0.006092434,5
"210",210,"Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus gigas","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1.162790698,0.1,3.350838928,2
"211",211,"Actinopterygii","Perciformes","Scombridae","Scomber scombrus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1.1,0.4,0.2,1
"212",212,"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",1.1,0.1,0,4
"213",213,"Actinopterygii","Tetraodontiformes","Balistidae","Balistes punctatus","juvenile","demersal","coastal","diel (no)","season (no)","non-schooling",1.1,0.2,0.2,7
"214",214,"Cephalopoda","Oegopsida","Cranchiidae","Cranchia scabra","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",1.1,0.1,0,4
"215",215,"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1,0,0,2
"216",216,"Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",1,0,0,5
"217",217,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",1,0,0,4
"218",218,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",1,0,0,4
"219",219,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",1,0,0,4
"220",220,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",1,0,0,1
"221",221,"Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus californiensis","juvenile","demersal","coastal","diel (no)","season (yes)","non-schooling",1,0,0,7
"222",222,"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",1,0.43,0.08,1
"223",223,"Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",1,0,0,2
"224",224,"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis rugosa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",1,0.1,0.2,2
"225",225,"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",0.996677741,0,0,4
"226",226,"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus mexicanus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.996677741,0,0,2
"227",227,"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.996677741,0,0,2
"228",228,"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx obscura","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.996677741,0,0,2
"229",229,"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",0.862068966,17.1,23.04,6
"230",230,"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",0.862068966,0.43,0.82,6
"231",231,"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0.862068966,0.86,0.86,5
"232",232,"Malacostraca","Amphipoda","Vibiliidae","Vibilia gibbosa","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0.862068966,0.24,0.05,1
"233",233,"Actinopterygii","Gadiformes","Moridae","Antimora rostrata","juvenile","mesopelagic","continental shelf","diel (no)","season (yes)","schooling",0.7,0,0.5,6
"234",234,"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.7,0,0,2
"235",235,"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.7,0,0,2
"236",236,"Actinopterygii","Perciformes","Nomeidae","Cubiceps capensis","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",0.7,0.1,0.5,4
"237",237,"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis gilchristi","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",0.7,0.2,0.1,1
"238",238,"Cephalopoda","Spirulida","Spirulidae","Spirula spirula","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",0.7,0.1,0,3
"239",239,"Malacostraca","Decapoda","Penaeidae","Funchalia woodwardi","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling",0.7,0.1,0.1,3
"240",240,"Malacostraca","Lophogastrida","Gnathophausiidae","Neognathophausia gigas","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.7,0.1,0,2
"241",241,"Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0.6,0.143380596,0,5
"242",242,"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling",0.6,0.047793532,0,4
"243",243,"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.5,0.3,0.5,2
"244",244,"Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0,0,2
"245",245,"Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0.5,0.1,0,1
"246",246,"Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0.5,0,0.1,1
"247",247,"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","adult","demersal","coastal","diel (no)","season (yes)","schooling",0.5,0.1,0,7
"248",248,"Actinopterygii","Perciformes","Istiophoridae","Makaira mazara","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0.5,0.5,0.5,5
"249",249,"Actinopterygii","Perciformes","Priacanthidae","Cookeolus japonicus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",0.5,0.2,0,4
"250",250,"Actinopterygii","Perciformes","Scombrolabracidae","Scombrolabrax heterolepis","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",0.5,0,0,3
"251",251,"Actinopterygii","Perciformes","Stromateidae","Peprilus simillimus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",0.5,0.1,0,4
"252",252,"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0,0,2
"253",253,"Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"254",254,"Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,5
"255",255,"Cephalopoda","Octopoda","Argonautidae","Argonauta nouryi","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",0.5,0.1,0,4
"256",256,"Cephalopoda","Octopoda","Opisthoteuthidae","Opisthoteuthis californiana","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","non-schooling",0.5,0.1,0,3
"257",257,"Cephalopoda","Oegopsida","Chiroteuthidae","Grimalditeuthis bonplandi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.5,0,0,2
"258",258,"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis meleagroteuthis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0.5,0,0,2
"259",259,"Cephalopoda","Oegopsida","Onychoteuthidae","Onykia loennbergii","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","non-schooling",0.5,0,0.3,1
"260",260,"Cephalopoda","Vampyromorpha","Vampyroteuthidae","Vampyroteuthis infernalis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"261",261,"Malacostraca","Decapoda","Scyllaridae","Parribacus antarcticus","larva","epipelagic","coastal","diel (yes)","season (no)","schooling",0.5,0.1,0,3
"262",262,"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.4,0.1,0,2
"263",263,"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis nielseni","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.332225914,0,0,2
"264",264,"Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis microlampas","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.332225914,0,0,2
"265",265,"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0.3,0,0,2
"266",266,"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling",0.3,0.015931177,0,4
"267",267,"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",0.3,0.015931177,0,4
"268",268,"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling",0,0,0,6
"269",269,"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling",0,0,0,4
"270",270,"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0,0,0,5
"271",271,"Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling",0,0,0,3
"272",272,"Actinopterygii","Perciformes","Bramidae","Brama brama","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0,5
"273",273,"Actinopterygii","Perciformes","Bramidae","Taractes asper","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0,5
"274",274,"Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",0,0,0,4
"275",275,"Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","juvenile","demersal","coastal","diel (no)","season (no)","schooling",0,0,0,7
"276",276,"Actinopterygii","Perciformes","Mugilidae","Mugil cephalus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0,0,0,5
"277",277,"Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","juvenile","demersal","coastal","diel (no)","season (yes)","schooling",0,0,0,7
"278",278,"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,1
"279",279,"Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,1
"280",280,"Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","juvenile","demersal","continental shelf","diel (no)","season (yes)","non-schooling",0,0,0,7
"281",281,"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","juvenile","epipelagic","continental shelf","diel (no)","season (no)","non-schooling",0,0,0,4
"282",282,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",0,0,0,4
"283",283,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,1
"284",284,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",0,0,0,4
"285",285,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling",0,0,0,5
"286",286,"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling",0,0,0,1
"287",287,"Actinopterygii","Stomiiformes","Stomiidae","Melanostomias valdiviae","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0,0,0,2
"288",288,"Actinopterygii","Stomiiformes","Stomiidae","Photonectes margarita","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0,0,0,2
"289",289,"Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis phyllura","juvenile","epipelagic","oceanic","diel (no)","season (no)","non-schooling",0,0,0,4
"290",290,"Cephalopoda","Oegopsida","Gonatidae","Gonatus californiensis","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0,2
"291",291,"Cephalopoda","Oegopsida","Gonatidae","Gonatus pyros","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",0,0,0.1,2
"292",292,"Malacostraca","Amphipoda","Platyscelidae","Platyscelus armatus","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling",0,0,0,3
