"prey_sp","prey_age_reported_1","maxTL","meanGAPE","l_adult","meanLENGTH","meanFRAC","larva_adult_use","juve_adult_use","life_stage","maxFO"
"Lagocephalus lagocephalus","none",0,9.61765,61,9.61765,15.7666393442623,1.58621304194619,26.6564961553653,"juvenile",1.6
"Lampadena luminosa","none",0,9.61765,23.6460081120281,9.61765,40.6734614757565,2.74887836001952,63.4356544619889,"juvenile",0.5
"Lampanyctodes hectoris","none",0,9.61765,8.67830631766314,8.67830631766314,100,20.5714285714286,55.0321262222587,"adult",23.4
"Lampanyctus alatus","adult",0,7.75767,7.6399870245504,7.6399870245504,100,23.7704918032787,59.016393442623,"adult",5.55555555555556
"Lampanyctus crocodilus","adult",0,7.75767,36.5623221580871,7.75767,21.2176621781779,6.56413449239616,33.3333333333334,"adult",48.5714285714286
"Lampanyctus intricarius","adult",0,7.75767,23.5757965890106,7.75767,32.9052296099979,10.2,85,"adult",37.037037037037
"Lampanyctus mexicanus","larva",0,7.38732,NA,NA,NA,17.3397107607587,55.0321262222587,"larva",0.996677740863787
"Lanceola sayana","adult",0,7.75767,4.2,4.2,100,13.2277038321486,35.9384836382273,"adult",1.85185185185185
"Lepidocybium flavobrunneum","none",0,9.61765,237.334005192181,9.61765,4.05236914626377,3.30944055944056,12.6404136548859,"juvenile",1.6
"Leptocotis tenuirostris","none",0,7.0256938,0.9,0.9,100,13.2277038321486,35.9384836382273,"adult",2.1
"Lestidiops ringens","none",0,7.97988,21,7.97988,37.9994285714286,19.0501736970883,36.0741393203333,"adult",4
"Lestidiops similis","none",0,9.61765,20,9.61765,48.08825,10.9322069467605,36.0741393203333,"adult",1.6
"Lestidiops sphyrenoides","none",0,7.75767,29.0333441681739,7.75767,26.7198637368956,18.6666666666667,64.074074074074,"juvenile",31.4814814814815
"Lestrolepis intermedia","none",0,9.61765,36.0761118547275,9.61765,26.6593308024121,11.0876693589025,36.0741393203333,"juvenile",16.3
"Leuroglossus stilbius","none",0,7.38732,15,7.38732,49.2488,20.7612023499251,42.1173584659917,"adult",0.4
"Liocranchia reinhardtii","none",0,7.75767,30.1787266131384,7.75767,25.705756572985,13.1045461445052,73.9999999999999,"juvenile",1.85185185185185
"Lobianchia gemellarii","adult",0,7.75767,11.6327508512957,7.75767,66.6881814900722,17.3397107607587,45.5005055611728,"adult",4
"Lycoteuthis lorigera","none",0,9.38721,38.7280444717763,9.38721,24.238791625126,7.21716900528456,47.3684210526316,"juvenile",32.8
"Lysiosquilla tredecimdentata","none",0,9.61765,2.76,2.76,100,13.2277038321486,35.9384836382273,"adult",7.9
"Macroparalepis affinis","none",17.772955391684,7.75767,55,17.772955391684,32.3144643485163,10.9322069467605,36.0741393203333,"juvenile",4
"Macroramphosus scolopax","none",0,8.11704666666667,20,8.11704666666667,40.5852333333333,9.15408758669816,32.5,"adult",30
"Magnisudis atlantica","none",0,7.9449025,63.5833173002259,7.9449025,12.4952626527584,6.25,17.3214285714285,"juvenile",8.2
"Makaira mazara","none",0,9.61765,500,9.61765,1.92353,0.232,26,"juvenile",0.5
"Mastigoteuthis dentata","none",0,7.53546,11.8584563515954,7.53546,63.5450329838774,7.21716900528456,46.6657905243552,"adult",22.5
"Masturus lanceolatus","none",0,9.61765,337,9.61765,2.85390207715134,2.05140119609478,30,"juvenile",0.5
"Maurolicus imperatorius","none",0,7.0256938,8.16645656565656,7.0256938,86.0311169662745,24.7947748227462,62.5,"adult",4.2
"Maurolicus muelleri","none",7.38762624083012,8.17993230769231,8,7.49607586467924,93.7009483084905,29.0440951000377,36.25,"adult",85.7142857142857
"Medialuna californiensis","none",0,7.6836,48,7.6836,16.0075,3.79166666666667,39.6875,"juvenile",1.16279069767442
"Meganyctiphanes norvegica","none",4,7.243295,4,3.95625,100,13.2277038321486,43.75,"adult",89.7
"Melamphaes lugubris","none",0,7.38732,16,7.38732,46.17075,9.5,25,"adult",5.9
"Melanostomias valdiviae","none",0,7.38732,24.1,7.38732,30.6527800829876,17.1075038453087,45.5147864184009,"juvenile",0
"Merluccius productus","none",0,7.38732,91,7.38732,8.11793406593407,4.58996762964677,37.3626373626374,"juvenile",100
"Microgadus proximus","none",0,7.38732,36.8008926583896,7.38732,20.0737522009969,9.18032786885246,15.2786885245901,"adult",33.33333333
"Micromesistius poutassou","none",0,6.880352,55.5,6.880352,12.3970306306306,1.35135135135135,27.027027027027,"juvenile",72.4
"Microstomus pacificus","none",0,7.38732,76,7.38732,9.72015789473684,8.55263157894737,50,"juvenile",0
"Monacoa grimaldii","none",0,9.61765,9.92921468707971,9.61765,96.8621417010438,12.7168836124561,47.0588235294118,"adult",0.5
"Mugil cephalus","none",0,7.38732,123.683950568386,7.38732,5.97273936193968,2,35.4,"juvenile",0
"Mullus barbatus barbatus","none",0,7.75767,41.0314222292818,7.75767,18.9066563587547,12.0481927710843,34.3373493975902,"juvenile",1.85185185185185
"Myctophum asperum","none",0,9.61765,8.5,8.5,100,18.1176470588235,82.3529411764706,"adult",2.2
"Myctophum punctatum","adult",0,7.75767,13.094418579494,7.75767,59.2440966577057,17.3397107607587,18.1818181818182,"adult",68.5185185185185
"Nannobrachium regale","larva",0,7.38732,21,7.38732,35.1777142857143,10.8719927367775,55.0321262222587,"larva",0.996677740863787
"Nannobrachium ritteri","none",0,7.38732,14.3728152487703,7.38732,51.3978637597254,14.1666666666667,55.0321262222587,"juvenile",1.8
"Nansenia macrolepis","none",0,9.61765,20,9.61765,48.08825,12.7168836124561,47.0588235294118,"adult",13.6
"Natosquilla investigatoris","none",0,9.61765,6.3,6.3,100,13.2277038321486,35.9384836382273,"adult",2
"Nealotus tripes","none",0,9.843975,29.0688749083811,9.843975,33.8643137411617,3.30944055944056,60.0000000000001,"juvenile",3
"Nematoscelis megalops","adult",4,7.75767,2.6,2.83333333333333,100,13.2277038321486,48.8211077844311,"adult",80
"Neoanchisquilla tuberculata","none",0,9.61765,7.4,7.4,100,13.2277038321486,35.9384836382273,"adult",9.5
"Neognathophausia gigas","adult",0,7.38732,16.4,7.38732,45.0446341463415,13.2277038321486,73.1707317073171,"adult",0.7
"Neognathophausia ingens","none",0,7.75767,35,7.75767,22.1647714285714,13.2277038321486,73.1707317073171,"juvenile",11.1111111111111
"Nesiarchus nasutus","none",0,10.0703,147.885079148294,10.0703,6.80954431508391,1.34615384615385,19.5384615384615,"juvenile",3
"Notoscopelus kroyeri","none",0,6.88529,17.2812688201792,6.88529,39.84250272156,17.3397107607587,65.7342657342657,"juvenile",15.8
"Nyctiphanes australis","none",0,7.4471521,1.67,1.67,100,13.2277038321486,53.8922155688623,"adult",27.9
"Octopoteuthis nielseni","juvenile",0,7.38732,NA,NA,NA,7.21716900528456,46.6657905243552,"juvenile",0.332225913621262
"Octopoteuthis rugosa","none",0,9.61765,NA,NA,NA,7.21716900528456,46.6657905243552,"adult",1
"Octopoteuthis sicula","none",0,7.62690444444444,43.4862943469485,7.62690444444444,17.5386396081358,7.21716900528456,46.6657905243552,"juvenile",32.7
"Octopus bimaculatus","juvenile",0,7.38732,61,7.38732,12.1103606557377,10.0026455026455,29.5081967213115,"juvenile",15.9
"Octopus vulgaris","none",0,8.107445,116.465789698133,8.107445,6.96122442565636,3,28,"juvenile",16.6666666666667
"Ocythoe tuberculata","none",0,7.9201302,96,7.9201302,8.250135625,7.21716900528456,46.6657905243552,"juvenile",17.2
"Odontodactylus hansenii","none",0,7.2721,7.7,7.2721,94.4428571428572,13.2277038321486,35.9384836382273,"adult",0.3
"Odontodactylus scyllarus","none",0,9.61765,17,9.61765,56.5744117647059,13.2277038321486,35.9384836382273,"adult",27
"Ommastrephes bartramii","none",0,8.86879054285714,59.1108089921451,8.86879054285714,15.0036697079136,2.77777777777777,55.5555555555556,"juvenile",5
"Omosudis lowii","none",0,9.509837,26.6351158135391,9.509837,35.704132343836,7.50888418883227,40.2230160108363,"juvenile",16.7
"Onychoteuthis banksii","none",0,8.32311215,46.9003526734385,8.32311215,17.7463743352909,2.2162814988902,47.6527614571093,"juvenile",83.3333333333333
"Onychoteuthis borealijaponica","none",0.8,7.32127425,55.5945100947813,6.60328625,11.8775869033512,0.945945945945947,67.5675675675677,"juvenile",58.5
"Onykia loennbergii","none",0,9.61765,55.3988273924302,9.61765,17.360746522433,2.2162814988902,47.6527614571093,"juvenile",0.5
"Onykia robusta","none",0,7.38732,401.086441281138,7.38732,1.84182740668162,0.369565217391306,3.04347826086956,"juvenile",6
"Opisthoteuthis californiana","none",0,7.38732,10.0920804867994,7.38732,73.1991784019433,9.02460995505148,31.7196364549059,"adult",0.5
"Oplophorus typus","none",0,9.61765,3.9,3.9,100,13.2277038321486,28.0637965930401,"adult",3.2
"Ornithoteuthis antillarum","juvenile",0,9.15677,24.8220643782656,9.15677,36.8896392357186,4,44.0000000000001,"juvenile",12
"Ornithoteuthis volatilis","none",0,9.40428725,38.4980561752377,9.40428725,24.4279534717104,1.74193548387097,41.9354838709677,"juvenile",20.7
"Ostracion cubicus","none",0,9.61765,45,9.61765,21.3725555555556,2,30,"juvenile",1.6
"Palinurus mauritanicus","larva",0,7.75767,75,7.75767,10.34356,2.97333333333333,12,"larva",8
"Paralepis coregonoides","none",0,7.75767,56.1982852085063,7.75767,13.8041044690555,5.87206529123865,22.9010546358307,"juvenile",81.4814814814815
"Paralepis speciosa","adult",0,9.52712,NA,NA,NA,10.9322069467605,36.0741393203333,"adult",0.8620689655
"Parapasiphae sulcatifrons","none",0,7.75767,9.89,7.75767,78.4395348837209,16.1779575328615,19.211324570273,"adult",4
"Parapronoe crustulum","none",0,7.0256938,2,2,100,13.2277038321486,35.9384836382273,"adult",1.5
"Parribacus antarcticus","none",0,9.61765,20,9.61765,48.08825,10,13.125,"adult",0.5
"Peprilus simillimus","none",0,7.38732,37.6686155191577,7.38732,19.611339302457,7.14285714285714,36.7942330347152,"juvenile",0.5
"Peristedion gracile","none",0,10.0703,20,10.0703,50.3515,6.18065511061849,33.5,"adult",3
"Photonectes margarita","none",0,7.38732,50.6015982154685,7.38732,14.5989855271839,17.1075038453087,45.5147864184009,"larva",0
"Phrosina semilunata","none",0,8.26327417142857,3,3,100,13.2277038321486,35.9384836382273,"adult",65
"Platyscelus armatus","none",0,7.38732,1.6,1.6,100,13.2277038321486,35.9384836382273,"adult",0
"Platyscelus ovoides","none",0,8.70301482857143,2,2,100,13.2277038321486,35.9384836382273,"adult",9.25925925925926
"Platyscelus serratulus","none",0,8.642395,0.7,0.7,100,13.2277038321486,35.9384836382273,"adult",1.85185185185185
