"prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",7,0,"0","0","1","0","shoaling","3.2","commercial"
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",NA,0,"0","0","1","0","shoaling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","1","season_yes","elongated",1.44,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",20,0,"0","0","1","0","shoaling","3.2","none"
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","elongated",15,0,"0","0","1","0","shoaling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","larva","epipelagic","oceanic","1","diel_yes","0","refuge_no","0","season_no","elongated",0.65,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",8.5,0,"0","0","1","1","shoaling","3.68","none"
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",7,0,"0","0","1","1","shoaling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","larva","epipelagic","oceanic","0","diel_no","0","refuge_no","0","season_no","elongated",1.54,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",11.6,0,"0","0","1","0","shoaling","3.1","none"
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",9.5,0,"0","0","1","0","shoaling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","larva","epipelagic","oceanic","0","diel_no","0","refuge_no","1","season_yes","elongated",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","adult","mesopelagic","oceanic","1","diel_yes","0","refuge_no","1","season_yes","elongated",8,0,"0","0","0","0","shoaling","3.4","none"
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","juvenile","mesopelagic","oceanic","1","diel_yes","0","refuge_no","NA","season_NA","elongated",NA,0,"0","0","0","0","shoaling","NA","none"
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","larva","epipelagic","oceanic","0","diel_no","0","refuge_no","NA","season_NA","elongated",2.11,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","adult","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","elongated",20,0,"0","0","1","0","shoaling","3.3","none"
"Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","juvenile","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","elongated",NA,0,"0","0","1","0","shoaling","NA","none"
"Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","elongated",NA,0,"1","0","0","0","NA","NA","none"
"Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","adult","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","compressiform",8,0,"0","0","1","0","NA","4","none"
