"prey_class","prey_order","prey_family","prey_sp","life_stage","l_type","measure","length","l_type_use","b_shape_r","eye_body_r","standard_total","length_tl"
"Cephalopoda","Oegopsida","Pyroteuthidae","Pterygioteuthis microlampas","juvenile",NA,"l_min",NA,NA,4.93426901451436,0.134293187001573,0.531265219678776,NA
"Cephalopoda","Oegopsida","Pyroteuthidae","Pyroteuthis margaritifera","adult",NA,"l_min",NA,NA,4.9698656964139,0.0988345556016666,0.432954020577877,NA
"Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis (Heteroteuthis) dispar","adult","ML","l_min",1.05,"SL",2.43487574284062,0.144468771718196,0.593690297946619,1.76859888671182
"Cephalopoda","Sepiida","Sepiolidae","Heteroteuthis (Heteroteuthis) dispar","juvenile",NA,"l_min",NA,NA,2.43487574284062,0.144468771718196,0.593690297946619,NA
"Cephalopoda","Sepiida","Sepiolidae","Sepietta oweniana","adult","ML","l_min",2.2,"SL",4.26313267099172,0.0814226216878224,0.453946114118484,4.84639020266133
"Cephalopoda","Sepiida","Sepiolidae","Sepietta oweniana","juvenile",NA,"l_min",NA,NA,4.26313267099172,0.0814226216878224,0.453946114118484,NA
"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","larva","NL","l_min",0.231,"TL",3.13195532473199,0.0822589433865605,0.82005976021664,0.231
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","adult","TL","l_min",12.87,"TL",9.11753676406396,0.0420292661291814,0.889706862308886,12.87
"Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","adult","SL","l_min",10,"SL",2.96980060940887,0.0862317027331112,0.792372992516249,12.6203190851371
"Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","juvenile","SL","l_min",0.88,"SL",2.96980060940887,0.0862317027331112,0.792372992516249,1.11058807949206
"Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","larva",NA,"l_min",NA,NA,2.96980060940887,0.0862317027331112,0.792372992516249,NA
"Actinopterygii","Perciformes","Bramidae","Taractes asper","adult","SL","l_min",17.8,"SL",3.21183202285246,0.0783798511679819,0.73001008344281,24.3832248399271
"Actinopterygii","Perciformes","Bramidae","Taractes asper","juvenile","SL","l_min",0.91,"SL",3.21183202285246,0.0783798511679819,0.73001008344281,1.24655812383897
"Actinopterygii","Perciformes","Bramidae","Taractes asper","larva",NA,"l_min",NA,NA,3.21183202285246,0.0783798511679819,0.73001008344281,NA
"Actinopterygii","Perciformes","Bramidae","Brama brama","larva","TL","l_min",0.48,"TL",2.83664382008211,0.0478158503032996,0.757359497010879,0.48
