"prey_class","prey_order","prey_family","prey_sp","measure","adult","juvenile","larva","larva_adult","juve_adult"
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","l_min",NA,2.05957932913292,0.2,NA,NA
"Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","l_max",337,NA,6.91322203083942,2.05140119609478,NA
"Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","l_min",NA,6.91322203083942,0.28,NA,NA
"Actinopterygii","Tetraodontiformes","Molidae","Ranzania laevis","l_max",100,30,0.707237929743801,0.707237929743801,30
"Actinopterygii","Tetraodontiformes","Molidae","Ranzania laevis","l_min",30,NA,0.0750100834576759,0.250033611525586,NA
"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","l_max",34,10.2,0.68,2,30
"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","l_min",10.2,0.68,0.231,2.26470588235294,6.66666666666667
"Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","l_max",45,NA,NA,NA,NA
"Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","l_min",NA,NA,0.267,NA,NA
"Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus lagocephalus","l_max",61,NA,NA,NA,NA
"Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus lagocephalus","l_min",NA,NA,NA,NA,NA
"Branchiopoda","Onychopoda","Podonidae","Pseudevadne tergestina","l_max",0.1,NA,NA,NA,NA
"Branchiopoda","Onychopoda","Podonidae","Pseudevadne tergestina","l_min",0.08,NA,NA,NA,NA
"Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","l_max",20.2118670033495,12.1271202020097,NA,NA,60
"Cephalopoda","Decapodiformes","Chtenopterygidae","Chtenopteryx sicula","l_min",12.1271202020097,NA,0.01,0.0824598077154608,NA
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","l_max",28.9632962758189,10.7577957595899,4.13761375368842,14.2857142857143,37.1428571428572
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis subulata","l_min",10.7577957595899,4.13761375368842,0.0344801146140702,0.320512820512821,38.4615384615384
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","l_max",29.1308192945635,10.7324071085234,2.29980152325502,7.89473684210529,36.8421052631579
"Cephalopoda","Myopsida","Loliginidae","Doryteuthis opalescens","l_min",10.7324071085234,2.29980152325502,0.459960304651003,4.28571428571429,21.4285714285715
"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","l_max",190.43070490154,NA,NA,NA,NA
"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","l_min",NA,NA,2.47559916372002,NA,NA
"Cephalopoda","Octopoda","Amphitretidae","Japetella diaphana","l_max",16,5.5,NA,NA,34.375
