"prey_class","prey_order","prey_family","prey_sp","measure","l_adult","l_juve","l_larva","larva_adult","juve_adult","larva_adult_u","juve_adult_u","larva_adult_use","juve_adult_use"
"Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","l_max",41,11.9,4.5390727480188,11.0709091415093,29.0243902439024,11.0709091415093,29.0243902439024,11.0709091415093,29.0243902439024
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","l_max",37,NA,2.1,5.67567567567568,NA,5.67567567567568,34.3414634146341,5.67567567567568,34.3414634146341
"Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","l_max",76,38,6.5,8.55263157894737,50,8.55263157894737,50,8.55263157894737,50
"Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","l_max",60,20,6.7,11.1666666666667,33.3333333333333,11.1666666666667,33.3333333333333,11.1666666666667,33.3333333333333
"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","l_max",23,2.5,1.5,6.52173913043478,10.8695652173913,6.52173913043478,10.8695652173913,6.52173913043478,10.8695652173913
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","l_max",120,52.8,4.11845312264532,3.4320442688711,44,3.4320442688711,44,3.4320442688711,44
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","l_max",40,NA,1.735,4.3375,NA,4.3375,45.4278495545466,4.3375,45.4278495545466
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","l_max",50,32,4,8,64,8,64,8,64
"Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion gracile","l_max",20,6.7,NA,NA,33.5,6.1806551106185,33.5,6.1806551106185,33.5
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","l_max",97,47,3.6736655068148,3.78728402764412,48.4536082474227,6.46150048167911,50.8573932072977,3.78728402764412,48.4536082474227
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","l_max",71,46,3.63386610357306,5.11812127263811,64.7887323943662,6.46150048167911,50.8573932072977,5.11812127263811,64.7887323943662
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","l_max",46,19,3.65363966304346,7.9426949196597,41.304347826087,6.46150048167911,50.8573932072977,7.9426949196597,41.304347826087
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","l_max",41,23,1.91934765346977,4.68133574017017,56.0975609756098,6.46150048167911,50.8573932072977,4.68133574017017,56.0975609756098
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","l_max",61,31,1.76775601145222,2.89796067451184,50.8196721311475,6.46150048167911,50.8573932072977,2.89796067451184,50.8196721311475
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","l_max",91,37,2.73764457261111,3.00840062924298,40.6593406593407,6.46150048167911,50.8573932072977,3.00840062924298,40.6593406593407
