prey_sp,prey_age_reported_1,maxTL,meanGAPE,l_adult,meanLENGTH,meanFRAC,larva_adult_use,juve_adult_use,life_stage,maxFO,maxN,maxM
Lycoteuthis lorigera,none,0,9.38721,38.72804447,9.38721,24.23879163,7.217169005,47.36842105,juvenile,32.8,17.3,25.8
Lysiosquilla tredecimdentata,none,0,9.61765,2.76,2.76,100,13.22770383,35.93848364,adult,7.9,0.9,0.7
Macroparalepis affinis,none,17.77295539,7.75767,55,17.77295539,32.31446435,10.93220695,36.07413932,juvenile,4,0,0
Macroramphosus scolopax,none,0,8.117046667,20,8.117046667,40.58523333,9.154087587,32.5,adult,30,0,0.07
Magnisudis atlantica,none,0,7.9449025,63.5833173,7.9449025,12.49526265,6.25,17.32142857,juvenile,8.2,2,2.4
Makaira mazara,none,0,9.61765,500,9.61765,1.92353,0.232,26,juvenile,0.5,0.5,0.5
Mastigoteuthis dentata,none,0,7.53546,11.85845635,7.53546,63.54503298,7.217169005,46.66579052,adult,22.5,1.8,0.2
Masturus lanceolatus,none,0,9.61765,337,9.61765,2.853902077,2.051401196,30,juvenile,0.5,0.1,0
Maurolicus imperatorius,none,0,7.0256938,8.166456566,7.0256938,86.03111697,24.79477482,62.5,adult,4.2,0.2,0.1
Maurolicus muelleri,none,7.387626241,8.179932308,8,7.496075865,93.70094831,29.0440951,36.25,adult,85.71428571,78.5,24.6
Medialuna californiensis,none,0,7.6836,48,7.6836,16.0075,3.791666667,39.6875,juvenile,1.162790698,0.076511094,0.000609243
Meganyctiphanes norvegica,adult,0,7.75767,4,4,100,13.22770383,43.75,adult,34.25,0,0
Meganyctiphanes norvegica,none,4,7.243295,4,3.95625,100,13.22770383,43.75,adult,89.7,7.3,84.3
Melamphaes lugubris,none,0,7.38732,16,7.38732,46.17075,9.5,25,adult,5.9,1.1,0
Melanostomias valdiviae,none,0,7.38732,24.1,7.38732,30.65278008,17.10750385,45.51478642,juvenile,0,0,0
Merluccius productus,juvenile,6.09,7.97988,91,6.09,6.692307692,4.58996763,37.36263736,juvenile,16,19,30
Merluccius productus,larva,0,7.38732,91,7.38732,8.117934066,4.58996763,37.36263736,larva,15.15,0,1.3
Merluccius productus,none,0,7.38732,91,7.38732,8.117934066,4.58996763,37.36263736,juvenile,100,0.1,0
Microgadus proximus,none,0,7.38732,36.80089266,7.38732,20.0737522,9.180327869,15.27868852,adult,33.33333333,0.5,0
Micromesistius poutassou,none,16,7.75767,55.5,16,28.82882883,1.351351351,27.02702703,adult,12,4.5,19.8
Micromesistius poutassou,none,0,6.880352,55.5,6.880352,12.39703063,1.351351351,27.02702703,juvenile,72.4,0,68.5
Microstomus pacificus,none,0,7.38732,76,7.38732,9.720157895,8.552631579,50,juvenile,0,0,0
Monacoa grimaldii,none,0,9.61765,9.929214687,9.61765,96.8621417,12.71688361,47.05882353,adult,0.5,0,0
Mugil cephalus,none,0,7.38732,123.6839506,7.38732,5.972739362,2,35.4,juvenile,0,0,0
Mullus barbatus barbatus,none,0,7.75767,41.03142223,7.75767,18.90665636,12.04819277,34.3373494,juvenile,1.851851852,0,0
Myctophum asperum,none,0,9.61765,8.5,8.5,100,18.11764706,82.35294118,adult,2.2,0.9,0.6
Myctophum punctatum,adult,0,7.75767,13.09441858,7.75767,59.24409666,17.33971076,18.18181818,adult,68.51851852,0,0
Nannobrachium regale,larva,0,7.38732,21,7.38732,35.17771429,10.87199274,55.03212622,larva,0.996677741,0,0
Nannobrachium ritteri,larva,0,7.38732,14.37281525,7.38732,51.39786376,14.16666667,55.03212622,larva,0.996677741,0,0
Nannobrachium ritteri,none,0,7.38732,14.37281525,7.38732,51.39786376,14.16666667,55.03212622,juvenile,1.8,0.1,0
Nansenia macrolepis,none,0,9.61765,20,9.61765,48.08825,12.71688361,47.05882353,adult,13.6,5,4.2
Natosquilla investigatoris,none,0,9.61765,6.3,6.3,100,13.22770383,35.93848364,adult,2,1.8,1.5
Nealotus tripes,none,0,9.843975,29.06887491,9.843975,33.86431374,3.309440559,60,juvenile,3,0,0.1
Nematoscelis megalops,adult,4,7.75767,2.6,2.833333333,100,13.22770383,48.82110778,adult,80,0,0
Nematoscelis megalops,none,0,7.40480875,2.6,2.6,100,13.22770383,48.82110778,adult,4.3,0.61,4.2
Neoanchisquilla tuberculata,none,0,9.61765,7.4,7.4,100,13.22770383,35.93848364,adult,9.5,1.1,0.4
Neognathophausia gigas,adult,0,7.38732,16.4,7.38732,45.04463415,13.22770383,73.17073171,adult,0.7,0.1,0
Neognathophausia ingens,none,0,7.75767,35,7.75767,22.16477143,13.22770383,73.17073171,juvenile,11.11111111,0,0
Nesiarchus nasutus,none,0,10.0703,147.8850791,10.0703,6.809544315,1.346153846,19.53846154,juvenile,3,0,0
Notoscopelus kroyeri,adult,0,7.75767,17.28126882,7.75767,44.89062742,17.33971076,65.73426573,adult,4,0,0
Notoscopelus kroyeri,none,0,6.88529,17.28126882,6.88529,39.84250272,17.33971076,65.73426573,juvenile,15.8,0,6.3
Nyctiphanes australis,none,0,7.4471521,1.67,1.67,100,13.22770383,53.89221557,adult,27.9,0,20.4
Octopoteuthis nielseni,juvenile,0,7.38732,NA,NA,NA,7.217169005,46.66579052,juvenile,0.332225914,0,0
Octopoteuthis rugosa,none,0,9.61765,NA,NA,NA,7.217169005,46.66579052,adult,1,0.1,0.2
Octopoteuthis sicula,none,0,7.626904444,43.48629435,7.626904444,17.53863961,7.217169005,46.66579052,juvenile,32.7,2.37,0.609243441
Octopus bimaculatus,juvenile,0,7.38732,61,7.38732,12.11036066,10.0026455,29.50819672,juvenile,15.9,1.7,0
Octopus bimaculatus,none,0,7.97988,61,7.97988,13.08177049,10.0026455,29.50819672,juvenile,11.62790698,1.836266259,0.182773032
Octopus vulgaris,none,0,8.107445,116.4657897,8.107445,6.961224426,3,28,juvenile,16.66666667,0,0
Ocythoe tuberculata,none,0,7.9201302,96,7.9201302,8.250135625,7.217169005,46.66579052,juvenile,17.2,0.7,0.6
Odontodactylus hansenii,none,0,7.2721,7.7,7.2721,94.44285714,13.22770383,35.93848364,adult,0.3,#DIV/0!,0
Odontodactylus scyllarus,none,0,9.61765,17,9.61765,56.57441176,13.22770383,35.93848364,adult,27,5.1,2.4
Ommastrephes bartramii,none,0,8.868790543,59.11080899,8.868790543,15.00366971,2.777777778,55.55555556,juvenile,5,1.6,6.2
Omosudis lowii,none,0,9.509837,26.63511581,9.509837,35.70413234,7.508884189,40.22301601,juvenile,16.7,0.7,1.2
Onychoteuthis banksii,juvenile,0,7.38732,46.90035267,7.38732,15.75109691,2.216281499,47.65276146,juvenile,0.332225914,0,0
Onychoteuthis banksii,none,0,8.32311215,46.90035267,8.32311215,17.74637434,2.216281499,47.65276146,juvenile,83.33333333,9.6,5.5
Onychoteuthis borealijaponica,none,0.8,7.32127425,55.59451009,6.60328625,11.8775869,0.945945946,67.56756757,juvenile,58.5,7.1,3.3
Onykia loennbergii,none,0,9.61765,55.39882739,9.61765,17.36074652,2.216281499,47.65276146,juvenile,0.5,0,0.3
Onykia robusta,none,0,7.38732,401.0864413,7.38732,1.841827407,0.369565217,3.043478261,juvenile,6,0.5,0
Onykia robusta,none,0.1,7.97988,401.0864413,0.1,0.024932281,0.369565217,3.043478261,larva,3,0,0.3
Opisthoteuthis californiana,none,0,7.38732,10.09208049,7.38732,73.1991784,9.024609955,31.71963645,adult,0.5,0.1,0
Oplophorus typus,none,0,9.61765,3.9,3.9,100,13.22770383,28.06379659,adult,3.2,0.5,0.3
Ornithoteuthis antillarum,juvenile,0,9.15677,24.82206438,9.15677,36.88963924,4,44,juvenile,12,0,0
Ornithoteuthis volatilis,none,0,9.40428725,38.49805618,9.40428725,24.42795347,1.741935484,41.93548387,juvenile,20.7,3.3,2.8
