"","StudyID","rep_ID","YearEnd","OceanBasin","prob.clust.num","clustFO","totalFO","relFO"
"245","Romanov2020","Romanov2020_57",2014,"S Atlantic","4",6.6,218.4,0.0302197802197802
"246","Romanov2020","Romanov2020_57",2014,"S Atlantic","5",19.6,218.4,0.0897435897435897
"247","Romanov2020","Romanov2020_57",2014,"S Atlantic","6",2.4,218.4,0.010989010989011
"248","Romanov2020","Romanov2020_58",2015,"Indian","1",5.4,101.6,0.0531496062992126
"249","Romanov2020","Romanov2020_58",2015,"Indian","2",2.1,101.6,0.0206692913385827
"250","Romanov2020","Romanov2020_58",2015,"Indian","3",8.7,101.6,0.0856299212598425
"251","Romanov2020","Romanov2020_58",2015,"Indian","4",72,101.6,0.708661417322835
"252","Romanov2020","Romanov2020_58",2015,"Indian","5",4.7,101.6,0.046259842519685
"253","Romanov2020","Romanov2020_58",2015,"Indian","6",8,101.6,0.078740157480315
"254","Romanov2020","Romanov2020_58",2015,"Indian","7",0.7,101.6,0.00688976377952756
"255","Romeo2012","Romeo2012_59",2008,"Mediterranean","1",113,259,0.436293436293436
"256","Romeo2012","Romeo2012_59",2008,"Mediterranean","2",1,259,0.00386100386100386
"257","Romeo2012","Romeo2012_59",2008,"Mediterranean","3",67,259,0.258687258687259
"258","Romeo2012","Romeo2012_59",2008,"Mediterranean","4",14,259,0.0540540540540541
"259","Romeo2012","Romeo2012_59",2008,"Mediterranean","5",64,259,0.247104247104247
"260","Salman&Karakulak2009","Salman&Karakulak2009_60",2007,"Mediterranean","1",34.34,227.63,0.150858849887976
"261","Salman&Karakulak2009","Salman&Karakulak2009_60",2007,"Mediterranean","2",16.36,227.63,0.0718710187585116
"262","Salman&Karakulak2009","Salman&Karakulak2009_60",2007,"Mediterranean","3",50.73,227.63,0.222861661468172
"263","Salman&Karakulak2009","Salman&Karakulak2009_60",2007,"Mediterranean","4",34.42,227.63,0.151210297412468
"264","Salman&Karakulak2009","Salman&Karakulak2009_60",2007,"Mediterranean","5",91.78,227.63,0.403198172472873
"265","Watanabe2004","Watanabe2004_61",2001,"N Pacific","2",16.8,61.3,0.274061990212072
"266","Watanabe2004","Watanabe2004_61",2001,"N Pacific","4",27.8,61.3,0.453507340946166
"267","Watanabe2004","Watanabe2004_61",2001,"N Pacific","5",16.7,61.3,0.272430668841762
"268","Watanabe2004","Watanabe2004_62",2002,"N Pacific","1",4.2,116.8,0.035958904109589
"269","Watanabe2004","Watanabe2004_62",2002,"N Pacific","2",18.8,116.8,0.160958904109589
"270","Watanabe2004","Watanabe2004_62",2002,"N Pacific","3",2.1,116.8,0.0179794520547945
"271","Watanabe2004","Watanabe2004_62",2002,"N Pacific","4",85.4,116.8,0.731164383561644
"272","Watanabe2004","Watanabe2004_62",2002,"N Pacific","5",6.3,116.8,0.0539383561643836
"273","Watanabe2004","Watanabe2004_63",2002,"N Pacific","1",7.6,118.1,0.0643522438611346
"274","Watanabe2004","Watanabe2004_63",2002,"N Pacific","2",30.3,118.1,0.256562235393734
"275","Watanabe2004","Watanabe2004_63",2002,"N Pacific","3",16.6,118.1,0.140558848433531
"276","Watanabe2004","Watanabe2004_63",2002,"N Pacific","4",45.5,118.1,0.385266723116003
"277","Watanabe2004","Watanabe2004_63",2002,"N Pacific","5",13.6,118.1,0.115156646909399
"278","Watanabe2004","Watanabe2004_63",2002,"N Pacific","6",4.5,118.1,0.0381033022861981
"279","Williams2015","Williams2015_64",2010,"S Pacific","1",3.8,14.6,0.26027397260274
"280","Williams2015","Williams2015_64",2010,"S Pacific","5",7.6,14.6,0.520547945205479
"281","Williams2015","Williams2015_64",2010,"S Pacific","6",3.2,14.6,0.219178082191781
"282","Williams2015","Williams2015_65",2008,"S Pacific","5",13.2,13.2,1
"283","Williams2015","Williams2015_66",2009,"S Pacific","5",27.9,27.9,1
"284","Williams2015","Williams2015_67",2010,"S Pacific","6",9.1,9.1,1
"285","Williams2015","Williams2015_68",2010,"S Pacific","1",4.8,9.6,0.5
