"prey_sp","prey_age_reported_1","maxl_type","maxFO","maxN","maxM","maxL"
"Sardina pilchardus","none","NO",3.4,5.8,7.68,0
"Sardinella aurita","none","NO",0.8620689655,0.86,0.86,0
"Sardinops sagax","juvenile","PB",27,3,4,49.2
"Sardinops sagax","juvenile","TL",29.0697674418605,3.90206579954093,7.4327699862311,0
"Sardinops sagax","larva","NO",0.996677740863787,0,0,0
"Scaeurgus unicirrhus","juvenile","NO",5,1.6,0,0
"Scaeurgus unicirrhus","none","NO",1.63,0.16,0,0
"Scomber japonicus","larva","NO",0.996677740863787,0,0,0
"Scomber japonicus","none","NO",3,0.3,0,0
"Scomber japonicus","none","TL",2.32558139534884,0.306044376434583,0.00609243441494352,0
"Scomber scombrus","none","NO",1.1,0.4,0.2,0
"Scomberesox saurus","none","NO",64.8148148148148,0.5,26.3,15
"Scomberesox saurus","none","SL",48,2.1,0,221
"Scombrolabrax heterolepis","none","NO",0.5,0,0,0
"Scopelarchus analis","none","NO",6,1,0.9,0
"Scopelogadus bispinosus","none","NO",2.7,0.4,0,0
"Scopelosaurus hoedti","none","NO",0.5,0,0.2,0
"Scyllarus arctus","adult","NO",0.1,0,0,0
"Scyllarus arctus","juvenile","NO",20,0,0,0
"Scyllarus arctus","larva","NO",20.7,0,4.1,0
"Scyllarus arctus","none","NO",6.3,0,0.1,0
"Sebastes aleutianus","juvenile","PB",0,0,0,11.8
"Sebastes brevispinis","juvenile","PB",1,0,0,12.5
"Sebastes diploproa","juvenile","PB",1,0,0,16.8
"Sebastes helvomaculatus","juvenile","NO",0,0,0,0
"Sebastes maliger","juvenile","NO",0,0,0,0
"Sebastes miniatus","juvenile","PB",0,0,0,9.9
"Sebastes proriger","juvenile","PB",1,0,0,14.4
"Sebastes wilsoni","juvenile","PB",1,0,0,13
"Sebastes zacentrus","juvenile","PB",0,0,0,19.3
"Selene setapinnis","none","NO",3,0,0,0
"Sepietta oweniana","none","NO",2.85714285714286,0,0,0
"Soestia zonaria","none","NO",8.57142857142857,0,0,0
"Spirula spirula","none","NO",0.7,0.1,0,0
"Spondyliosoma cantharus","none","NO",1.85185185185185,0,0,0
"Stenobrachius leucopsarus","adult","PB",3,0,0.2,59.8
"Stenobrachius leucopsarus","none","NO",7.6,0.2,0,0
"Sternoptyx diaphana","none","NO",44.4444444444444,0.1,0,0
"Sternoptyx obscura","adult","NO",0.996677740863787,0,0,0
"Sthenoteuthis oualaniensis","none","NO",17.9,7,8.5,0
"Stigmatoteuthis dofleini","none","NO",2.2,0.6,0.5,0
"Stigmatoteuthis hoylei","none","NO",1.6,0.6,1.1,0
"Streetsia challengeri","none","NO",40,0.19,0.05,0
"Strongylura exilis","adult","NO",0.996677740863787,0,0,0
"Stylocheiron abbreviatum","none","NO",16.6666666666667,0,0,0
"Sudis hyalina","adult","NO",0.8620689655,0.43,0.82,0
"Symbolophorus barnardi","none","NO",9,3.7,4.7,0
"Symbolophorus evermanni","none","NO",0.3,0,0,0
"Syngnathus californiensis","none","NO",1,0,0,0
"Systellaspis debilis","none","NO",8,0,0,0
"Taningia danae","none","NO",3.3,0.2,0,0
"Taractes asper","none","NO",0,0,0,0
"Tarletonbeania crenularis","adult","NO",1,0,0,74.8
"Tarletonbeania crenularis","larva","NO",0.996677740863787,0,0,0
"Tarletonbeania crenularis","none","NO",100,5.4,0,0
"Tetragonurus atlanticus","none","NO",14.2857142857143,0,0,0
"Tetragonurus cuvieri","none","NO",0.6,0.04779353194,0,0
"Teuthowenia megalops","none","ML",4,0.1,0,129
"Teuthowenia megalops","none","NO",16.6666666666667,0,0,0
"Thaleichthys pacificus","none","NO",33.33333333,0,0,0
"Themisto gaudichaudii","adult","NO",27,0,0,0
"Themisto gaudichaudii","none","NO",54.3,0,27.3,0
"Themisto gaudichaudii","none","TL",18,5.1,0,18
"Thyrsitoides marleyi","none","NO",2.7,0.4,0.9,0
"Thysanoteuthis rhombus","none","NO",1.6,0,0.6,0
"Todarodes pacificus","none","NO",1.5,0.2,0.4,0
"Todarodes sagittatus","juvenile","NO",73.7,39.5,0,0
"Todarodes sagittatus","none","NO",66.6666666666667,11.8,0.3,0
"Todaropsis eblanae","none","NO",2.777777778,0,13.64,0
