"prey_class","prey_order","prey_family","prey_sp","species_life","life_stage","diet_likely","life_note","trait_notes","trait_confidence_cat","vert_habitat","horz_habitat","season_migrant","diel_migrant"
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","Tetragonurus atlanticus (larva)","larva","juvenile","Could explain tunicates in albacore diets?","almost nothing known","low","epipelagic","oceanic","0.0","0.0"
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","Tetragonurus cuvieri (adult)","adult","juvenile","Could explain tunicates in albacore diets?","almost nothing known","low","mesopelagic","oceanic","0.0","1.0"
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","Tetragonurus cuvieri (juvenile)","juvenile","juvenile","Could explain tunicates in albacore diets?","almost nothing known","low","epipelagic","oceanic","0.0","0.0"
"Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","Tetragonurus cuvieri (larva)","larva","juvenile","Could explain tunicates in albacore diets?","almost nothing known","low","epipelagic","oceanic","0.0","0.0"
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","Arnoglossus imperialis (adult)","adult","juvenile","Potentially even larva","almost nothing known","low","benthic","continental shelf","1.0","1.0"
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","Arnoglossus imperialis (juvenile)","juvenile","juvenile","Potentially even larva","almost nothing known","low","demersal","continental shelf","1.0","1.0"
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","Arnoglossus imperialis (larva)","larva","juvenile","Potentially even larva","almost nothing known","low","epipelagic","coastal","1.0","1.0"
"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","Bathyagonus pentacanthus (adult)","adult","juvenile","Based on traits","species level info, but not a lot out there on this species","medium","demersal","continental shelf","0.0","0.0"
"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","Bathyagonus pentacanthus (juvenile)","juvenile","juvenile","Based on traits","species level info, but not a lot out there on this species","medium","epipelagic","continental shelf","0.0","0.0"
"Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","Bathyagonus pentacanthus (larva)","larva","juvenile","Based on traits","species level info, but not a lot out there on this species","medium","epipelagic","continental shelf","0.0","0.0"
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","Anoplopoma fimbria (adult)","adult","juvenile",NA,"good published literature","high","demersal","continental shelf","1.0","1.0"
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","Anoplopoma fimbria (juvenile)","juvenile","juvenile",NA,"species level info, but not a lot out there","high","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","Anoplopoma fimbria (larva)","larva","juvenile",NA,"species level info, but not a lot out there on this species","medium","epipelagic","oceanic","1.0","0.0"
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","Dactyloptena orientalis (adult)","adult","juvenile",NA,"decent - high level species info","high","benthic","reef-associated","0.0","0.0"
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","Dactyloptena orientalis (juvenile)","juvenile","juvenile",NA,"almost nothing known","low","epipelagic","coastal","0.0","0.0"
"Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena orientalis","Dactyloptena orientalis (larva)","larva","juvenile",NA,"species level info","medium","epipelagic","coastal","0.0","0.0"
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","Helicolenus dactylopterus (adult)","adult","juvenile",NA,"almost nothing known","low","demersal","continental shelf","1.0","0.0"
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","Helicolenus dactylopterus (juvenile)","juvenile","juvenile",NA,"almost nothing known","low","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","Helicolenus dactylopterus (larva)","larva","juvenile",NA,"almost nothing known","low","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","Macroramphosus scolopax (adult)","adult","adult",NA,"species level info, but not a lot out there","medium","demersal","continental shelf","1.0","1.0"
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","Macroramphosus scolopax (juvenile)","juvenile","adult",NA,"almost nothing known","low","epipelagic","continental shelf","1.0","1.0"
"Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","Macroramphosus scolopax (larva)","larva","adult",NA,"almost nothing known","low","epipelagic","continental shelf","1.0","1.0"
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","Entelurus aequoreus (adult)","adult","juvenile","Most likely juvenile / young-of-year","species level info, but not a lot out there","medium","demersal","continental shelf","1.0","0.0"
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","Entelurus aequoreus (juvenile)","juvenile","juvenile","Most likely juvenile / young-of-year","almost nothing known","low","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","Entelurus aequoreus (larva)","larva","juvenile","Most likely juvenile / young-of-year","almost nothing known","low","epipelagic","continental shelf","1.0","0.0"
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","Canthidermis maculata (adult)","adult","juvenile",NA,"decent - high level species info","high","epipelagic","reef-associated","0.0","0.0"
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","Canthidermis maculata (juvenile)","juvenile","juvenile",NA,"decent - high level species info","high","epipelagic","coastal","0.0","0.0"
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","Canthidermis maculata (larva)","larva","juvenile",NA,"decent - high level species info","high","epipelagic","coastal","0.0","0.0"
"Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","Masturus lanceolatus (adult)","adult","juvenile","Most likely juvenile / young-of-year","species level info","medium","mesopelagic","oceanic","0.0","1.0"
"Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","Masturus lanceolatus (juvenile)","juvenile","juvenile","Most likely juvenile / young-of-year","species level info","medium","epipelagic","oceanic","0.0","1.0"
"Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","Masturus lanceolatus (larva)","larva","juvenile","Most likely juvenile / young-of-year","decent - high level species info","high","epipelagic","oceanic","0.0","1.0"
"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","Lactoria diaphana (adult)","adult","juvenile",NA,"species level info, but not a lot out there","medium","demersal","reef-associated","1.0","0.0"
"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","Lactoria diaphana (juvenile)","juvenile","juvenile",NA,"almost nothing known","low","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","Lactoria diaphana (larva)","larva","juvenile",NA,"almost nothing known","low","epipelagic","coastal","1.0","0.0"
"Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","Ostracion cubicus (adult)","adult","juvenile","Could be larval but lacking size info","decent - high level species info","high","demersal","reef-associated","0.0","0.0"
"Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","Ostracion cubicus (juvenile)","juvenile","juvenile","Could be larval but lacking size info","species level info","medium","epipelagic","oceanic","0.0","0.0"
"Actinopterygii","Tetraodontiformes","Ostraciidae","Ostracion cubicus","Ostracion cubicus (larva)","larva","juvenile","Could be larval but lacking size info","almost nothing known","low","epipelagic","oceanic","0.0","0.0"
"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","Haliphron atlanticus (adult)","adult","juvenile","Most likely juvenile / young-of-year","species level info, but not a lot out there","medium","mesopelagic","continental slope","0.0","1.0"
"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","Haliphron atlanticus (juvenile)","juvenile","juvenile","Most likely juvenile / young-of-year","almost nothing known","low","epipelagic","continental slope","0.0","1.0"
"Cephalopoda","Octopoda","Alloposidae","Haliphron atlanticus","Haliphron atlanticus (larva)","larva","juvenile","Most likely juvenile / young-of-year","almost nothing known","low","epipelagic","continental slope","0.0","1.0"
"Cephalopoda","Octopoda","Amphitretidae","Japetella diaphana","Japetella diaphana (adult)","adult","juvenile","Based on habitat traits","almost nothing known","low","mesopelagic","oceanic","NA","1.0"
"Cephalopoda","Octopoda","Amphitretidae","Japetella diaphana","Japetella diaphana (juvenile)","juvenile","juvenile","Based on habitat traits","almost nothing known","low","epipelagic","oceanic","NA","1.0"
"Cephalopoda","Octopoda","Amphitretidae","Japetella diaphana","Japetella diaphana (larva)","larva","juvenile","Based on habitat traits","almost nothing known","low","epipelagic","continental shelf","NA","1.0"
"Cephalopoda","Octopoda","Amphitretidae","Japetella heathi","Japetella heathi (adult)","adult","juvenile","Based on habitat traits","almost nothing known","low","mesopelagic","oceanic","NA","1.0"
"Cephalopoda","Octopoda","Amphitretidae","Japetella heathi","Japetella heathi (juvenile)","juvenile","juvenile","Based on habitat traits","almost nothing known","low","epipelagic","oceanic","NA","1.0"
"Cephalopoda","Octopoda","Amphitretidae","Japetella heathi","Japetella heathi (larva)","larva","juvenile","Based on habitat traits","almost nothing known","low","epipelagic","continental shelf","NA","1.0"
"Cephalopoda","Octopoda","Eledonidae","Eledone cirrhosa","Eledone cirrhosa (adult)","adult","juvenile",NA,"species level info, but not a lot out there","medium","benthic","continental shelf","1.0","1.0"
