"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Leptocotis tenuirostris","none","NO",0,7.0256938,"adult",NA
"Lestidiops ringens","none","NO",0,7.97988,"adult",NA
"Lestidiops similis","none","NO",0,9.61765,"adult",NA
"Lestidiops sphyrenoides","none","NO",0,7.75767,"juvenile",NA
"Lestrolepis intermedia","none","NO",0,9.61765,"juvenile",NA
"Leuroglossus stilbius","none","NO",0,7.38732,"juvenile",NA
"Liocranchia reinhardtii","none","NO",0,7.75767,"juvenile",NA
"Lobianchia gemellarii","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age"
"Lobianchia gemellarii","none","NO",0,9.61765,"adult","Bouxin & Legendre reported age"
"Lycoteuthis lorigera","none","NO",0,9.61765,"juvenile",NA
"Lysiosquilla tredecimdentata","none","NO",0,9.61765,"juvenile","Based on trait"
"Macroparalepis affinis","none","SL",16.9,7.75767,"juvenile",NA
"Macroramphosus scolopax","none","NO",0,9.20615,"adult",NA
"Magnisudis atlantica","none","NO",0,9.61765,"juvenile",NA
"Makaira mazara","none","NO",0,9.61765,"juvenile","Based on size and other traits"
"Mastigoteuthis dentata","none","NO",0,7.97988,"juvenile",NA
"Masturus lanceolatus","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Maurolicus imperatorius","none","NO",0,7.0256938,"adult",NA
"Maurolicus muelleri","none","NO",4,9.61765,"adult","Several of the oldest papers in the review reported lengths ~6 cm (SL)"
"Maurolicus muelleri","none","SL",6.2,7.75767,"adult","Several of the oldest papers in the review reported lengths ~6 cm (SL)"
"Medialuna californiensis","none","NO",0,7.97988,"juvenile",NA
"Meganyctiphanes norvegica","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported adults, Joubin (1918) and Pusineri et al. (2005) reported 33-40 mm individuals in guts"
"Meganyctiphanes norvegica","none","NO",0,9.52712,"adult","Bouxin & Legendre reported adults, Joubin (1918) and Pusineri et al. (2005) reported 33-40 mm individuals in guts"
"Meganyctiphanes norvegica","none","TL",4,7.75767,"adult","Bouxin & Legendre reported adults, Joubin (1918) and Pusineri et al. (2005) reported 33-40 mm individuals in guts"
"Melamphaes lugubris","none","NO",0,7.38732,"adult",NA
"Melanostomias valdiviae","none","NO",0,7.38732,"juvenile",NA
