dendlabs,prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,refuge_cat,season_cat,gregarious,prob.clust.num
21,Actinopterygii,Tetraodontiformes,Balistidae,Canthidermis maculata,none,juvenile,epipelagic,coastal,diel (no),refuge (yes),season (no),schooling,4
26,Actinopterygii,Aulopiformes,Chlorothalmidae,Chlorophthalmus agassizi,none,juvenile,demersal,continental shelf,diel (no),refuge (no),season (yes),schooling,4
30,Actinopterygii,Beloniformes,Scomberesocidae,Cololabis saira,adult,adult,epipelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
34,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster aggregata,none,adult,demersal,coastal,diel (no),refuge (yes),season (yes),schooling,4
40,Actinopterygii,Perciformes,Sparidae,Diplodus sargus,none,juvenile,demersal,reef-associated,diel (no),refuge (yes),season (yes),schooling,4
47,Actinopterygii,Clupeiformes,Engraulidae,Engraulis japonicus,juvenile,juvenile,epipelagic,continental shelf,diel (no),refuge (no),season (yes),schooling,4
53,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla gurnardus,none,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,4
69,Malacostraca,Isopoda,Idoteidae,Idotea metallica,none,adult,epipelagic,continental shelf,diel (no),refuge (yes),season (yes),schooling,4
92,Actinopterygii,Perciformes,Kyphosidae,Medialuna californiensis,none,juvenile,epipelagic,reef-associated,diel (no),refuge (yes),season (yes),schooling,4
100,Actinopterygii,Perciformes,Mullidae,Mullus barbatus barbatus,none,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,4
124,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,none,adult,benthic,continental shelf,diel (no),refuge (yes),season (yes),schooling,4
131,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes diploproa,juvenile,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (yes),schooling,4
132,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes proriger,juvenile,juvenile,epipelagic,continental shelf,diel (no),refuge (yes),season (no),schooling,4
135,Actinopterygii,Perciformes,Sparidae,Spondyliosoma cantharus,none,juvenile,epipelagic,coastal,diel (no),refuge (yes),season (no),schooling,4
138,Cephalopoda,Oegopsida,Ommastrephidae,Sthenoteuthis oualaniensis,none,juvenile,mesopelagic,oceanic,diel (no),refuge (no),season (yes),schooling,4
140,Malacostraca,Euphausiacea,Euphausiidae,Stylocheiron abbreviatum,none,adult,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
